Name,Team,POS,ADP,IP,mERA,mWHIP,mSO,mHR,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Griff McGarry ","WSN","RP",999,52,-4.683886141126493,-9.23531423676914,-4.825991021860526,4.553669294993949,-14.191522104762212,4.116523579825635,-9.074998524936579,"Griff McGarry","sa3017130",676046
"Kolby Allard ","CLE","RP",999,42,-6.243289521695885,-5.01773162214498,-7.230011840688422,4.26905091095225,-14.221982073577037,4.116523579825635,-9.105458493751403,"Kolby Allard","18694",663465
"Cam Schlittler ","NYY","SP",140.4199981689453,126.418,-11.783667860590548,-12.565212901112297,1.8327358993133491,-5.069920788027175,-27.586065650416668,17.438467205185578,-9.147598445231093,"Cam Schlittler","32095",693645
"Connor Brogdon ","CLE","RP",999,52,-6.502014318192664,-5.578892821491168,-5.357953778022742,3.1622011080251986,-14.276659809681377,4.116523579825635,-9.160136229855741,"Connor Brogdon","21205",641401
"Dennis Santana ","PIT","RP",131.94000244140625,68,-5.881821356624955,-7.275883481690123,-3.9884187957817017,2.801359522118289,-14.344764111978494,4.116523579825635,-9.228240532152858,"Dennis Santana","17878",642701
"Chris Roycroft ","STL","RP",999,44,-4.3732172354212056,-8.994919151179392,-6.926902991406469,5.948381633303856,-14.346657744703212,4.116523579825635,-9.230134164877576,"Chris Roycroft","31261",688297
"Julian Aguiar ","CIN","RP",999,35.0807,-6.924104082485799,-4.595375075707268,-7.670518942832457,4.758566726978131,-14.431431374047394,4.116523579825635,-9.31490779422176,"Julian Aguiar","30031",687924
"Tyler Gilbert ","CHW","RP",999,50,-5.897894034951142,-6.045786348864571,-5.990463772263503,3.4413460197786483,-14.492798136300566,4.116523579825635,-9.376274556474932,"Tyler Gilbert","17964",656457
"John Schreiber ","KCR","RP",999,64,-5.585355343415388,-7.710862234090409,-4.489147842199807,3.226260264824159,-14.559105154881447,4.116523579825635,-9.442581575055813,"John Schreiber","20020",670167
"Joe Ross ",,"RP",999,52,-5.534369410967329,-7.124752802503224,-5.983155468954406,3.9633494580981155,-14.678928224326842,4.116523579825635,-9.562404644501207,"Joe Ross","12972",605452
"Pedro Avila ","CLE","RP",999,39.1507,-5.955396888953232,-7.138938028636271,-7.1058879926730825,5.46508181656265,-14.735141093699939,4.116523579825635,-9.618617513874304,"Pedro Avila","18864",658648
"Kyle Nicolas ","PIT","RP",999,56,-5.293896556727465,-8.953535379035644,-4.7543192068884705,4.25769855620547,-14.74405258644611,4.116523579825635,-9.627529006620476,"Kyle Nicolas","27775",693312
"Jedixson Paez ","CHW","RP",999,40,-6.037175799846733,-6.386700368008568,-7.353623051697972,5.021546560675798,-14.755952658877474,4.116523579825635,-9.639429079051839,"Jedixson Paez","sa3016264",699151
"David Morgan ","SDP","RP",748.030029296875,62,-5.592213989901233,-7.846170102864264,-4.324954627855425,3.0050929223259986,-14.758245798294922,4.116523579825635,-9.641722218469289,"David Morgan","31616",688158
"Anthony Banda ","LAD","RP",999,55,-5.669122787017465,-7.347189617833793,-4.9771767076026014,3.223422393632191,-14.770066718821669,4.116523579825635,-9.653543138996033,"Anthony Banda","14706",607455
"Josh Simpson ","MIA","RP",999,44,-4.821874107498811,-9.062078800662029,-6.324601041870774,5.395362142010612,-14.813191808021001,4.116523579825635,-9.696668228195366,"Josh Simpson","25957",681006
"Michael Kopech ",,"RP",536.4199829101562,46,-6.191436829351347,-7.947544975280904,-5.313814988871989,4.630094766954846,-14.822702026549395,4.116523579825635,-9.706178446723762,"Michael Kopech","17282",656629
"Logan Henderson ","MIL","SP",297.9700012207031,145.681,-16.37164571786836,-4.813199650486928,4.152578280748743,-11.179577331127385,-28.211844418733932,17.438467205185578,-9.773377213548354,"Logan Henderson","31475",701656
"Kumar Rocker ","TEX","SP",494.2799987792969,118.44,-13.285819642169974,-11.324204858475323,0.1337786566304257,-3.8411330016517247,-28.317378845666592,17.438467205185578,-9.878911640481018,"Kumar Rocker","31843",677958
"Paul Sewald ",,"RP",750.8900146484375,53,-8.16689852992428,-3.949307503501127,-5.101720519114675,2.047140879171046,-15.170785673369034,4.116523579825635,-10.0542620935434,"Paul Sewald","13892",623149
"Reid Detmers ","LAA","SP",348.9700012207031,148.721,-13.586181454954138,-11.937872207213903,5.583985929704697,-8.577106771551735,-28.517174504015077,17.438467205185578,-10.078707298829501,"Reid Detmers","27468",672282
"Brock Burke ","CIN","RP",999,62,-6.3702792786859765,-6.410613981966847,-4.483315276541246,2.005887349418762,-15.258321187775312,4.116523579825635,-10.141797607949677,"Brock Burke","17968",656271
"Justin Topa ","MIN","RP",623.4400024414062,63,-5.623203671069087,-8.762400630274017,-5.037521630014217,4.073223444054476,-15.349902487302844,4.116523579825635,-10.23337890747721,"Justin Topa","15145",623437
"Kyle Wright ",,"SP",999,90.9595,-12.309071933770463,-13.316847197816564,-2.9199323391128438,-0.21835466082046467,-28.76420613152034,17.438467205185578,-10.32573892633476,"Kyle Wright","19665",657140
"Robby Snelling ","MIA","SP",999,120.042,-10.29590122606048,-15.353475785399038,-0.30323285549586204,-2.884987034706008,-28.837596901661385,17.438467205185578,-10.399129696475807,"Robby Snelling","sa3020707",702281
"Ryan Bergert ","KCR","SP",581.6699829101562,68.2304,-13.322518321739684,-12.044527566637106,-4.691698504634214,1.2069926797023114,-28.851751713308694,17.438467205185578,-10.413284508123116,"Ryan Bergert","29863",686701
"Jackson Kowar ","SEA","RP",999,54,-6.025372765823013,-8.169051459489168,-5.159533929721952,3.7083281914342088,-15.645629963599921,4.116523579825635,-10.529106383774288,"Jackson Kowar","21549",663804
"Ron Marinaccio ","SDP","RP",999,46,-6.48693745208824,-7.569622440867137,-6.14744096578038,4.546168771854294,-15.657832086881461,4.116523579825635,-10.54130850705583,"Ron Marinaccio","23488",676760
